date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:22	3620/3620	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:06%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/twitter-active.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/twitter-active.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:23	3604/3604	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:06%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/gplus-grey.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/gplus-grey.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:23	3654/3654	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:06%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/gplus-active.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/gplus-active.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:24	3420/3420	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:06%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/linkedin-grey.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/linkedin-grey.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:24	3431/3431	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:06%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/linkedin-active.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/linkedin-active.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:25	2965/2965	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:06%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/reply-arrow.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/reply-arrow.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:25	544/544	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20May%202020%2013:00:25%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/css/grabbing.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/css/grabbing.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:26	232/232	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:06%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/dropdown-arrow.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/dropdown-arrow.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:27	3099/3099	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:12:24%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/search-icon.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/search-icon.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:27	3038/3038	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:06%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/close-icon.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/close-icon.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:28	2888/2888	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:15:05%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/upper-arrow.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/upper-arrow.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:28	2977/2977	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:21:40%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/location.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/location.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:28	3001/3001	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:03%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/double-arrow.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/double-arrow.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
